slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,-3,-3,-2,-2,-3,-1,-1,-2,0.0
1,-1,-4,-3,-3,-2,-1,-5,-2,0.005
2,0,-1,0,-1,1,0,-1,1,0.01
3,-1,-1,-4,-2,0,-1,-4,0,0.015
4,-1,-2,-4,-2,0,-3,14,2,0.02
5,-3,-4,15,8,0,1,-1,-2,0.025
6,-2,-3,-1,-1,1,0,1,-1,0.03
7,-2,0,-4,-2,0,-3,-5,-1,0.035
8,1,-1,-4,-3,2,4,2,2,0.04
9,-1,0,-4,-4,-4,-7,-2,-2,0.045
10,-1,3,2,0,0,6,9,3,0.05
11,1,4,3,1,-1,-3,-4,0,0.055
12,-1,4,-4,-1,-1,0,1,0,0.06
13,0,6,-4,-2,-1,-2,-5,-5,0.065
14,3,4,-2,0,-1,-6,-4,-3,0.07
15,6,4,-2,-2,0,1,5,-4,0.075
16,-1,2,13,6,0,0,2,4,0.08
17,0,0,-1,-2,-2,1,-1,1,0.085
18,-3,0,-3,-3,-2,-2,-12,-2,0.09
19,5,-2,-3,-1,1,2,0,0,0.095
20,1,-2,-2,-1,-1,-3,-9,-3,0.1
21,-5,-5,-3,-3,-1,0,2,-1,0.105
22,4,-6,-4,-2,-2,-1,0,0,0.11
23,-5,-2,0,0,0,-1,1,0,0.115
24,-1,-1,2,1,1,2,3,-1,0.12
25,1,-2,-1,1,0,-2,-3,0,0.125
26,-2,0,-3,-1,0,-2,-6,-1,0.13
27,-2,3,0,-2,-5,-6,4,-3,0.135
28,0,0,-10,-5,-1,0,-1,0,0.14
29,2,2,14,6,2,4,7,1,0.145
30,-1,2,-6,-8,-3,-2,-1,0,0.15
31,-5,-1,9,6,-1,-2,-2,-2,0.155
32,4,-4,0,1,-1,0,0,1,0.16
33,0,45,-4,-1,0,0,1,1,0.165
34,0,50,-1,1,1,1,1,0,0.17
35,-2,7,-6,-4,-1,1,-1,-1,0.17500000000000002
36,-3,-4,-1,-3,-3,-4,4,-1,0.18
37,0,-41,-4,-2,-1,1,-6,-1,0.185
38,-3,-26,1,2,1,-3,0,0,0.19
39,1,-4,-4,-3,-2,-2,-5,-2,0.195
40,0,-17,4,1,1,1,-1,0,0.2
41,1,-12,-3,-2,0,2,3,-2,0.20500000000000002
42,0,-25,-5,-3,-1,3,0,-1,0.21
43,1,-14,0,-3,0,-2,0,2,0.215
44,-2,8,7,3,-1,-4,-3,-2,0.22
45,-4,7,-2,-2,-4,-3,-1,1,0.225
46,1,11,1,-1,-1,2,3,-2,0.23
47,0,87,-3,-1,0,-3,-4,-2,0.23500000000000001
48,-3,30,-4,-5,-2,-1,-1,-2,0.24
49,0,11,1,-1,1,0,10,0,0.245
50,-1,-22,1,-1,-2,-4,-3,-2,0.25
51,0,-41,-5,1,1,4,-1,-2,0.255
52,-1,-5,1,0,0,-1,-2,0,0.26
53,-3,-6,-4,-3,-2,-2,-8,0,0.265
54,0,0,0,1,-1,4,5,0,0.27
55,0,-12,5,1,0,-1,-14,1,0.275
56,-1,-9,-3,0,1,1,14,-2,0.28
57,1,-21,-4,-4,-1,0,-7,-4,0.28500000000000003
58,3,-6,3,0,0,-3,-1,-2,0.29
59,-3,23,1,-3,-2,-4,11,-2,0.295
60,-3,-6,-1,-1,-1,-3,-10,-1,0.3
61,-3,-12,-7,-1,0,0,3,4,0.305
62,-3,-17,4,1,-1,-3,-2,-3,0.31
63,2,-35,1,-1,1,-1,4,2,0.315
64,0,-19,0,0,-1,0,-3,2,0.32
65,-2,-7,0,0,-2,-4,-9,-1,0.325
66,-3,-6,-2,0,-1,-1,1,1,0.33
67,-4,-22,-4,-2,-1,4,5,-1,0.335
68,6,2,-1,1,0,1,1,1,0.34
69,0,3,-2,-2,-1,-1,-4,-3,0.34500000000000003
70,0,2,-4,-1,-1,-3,-5,-2,0.35000000000000003
71,-2,-5,0,-1,-3,-6,-7,-3,0.355
72,-2,1,-2,-1,1,4,5,1,0.36
73,1,10,4,0,-1,1,4,-3,0.365
74,-4,-1,-3,-1,-1,3,-2,1,0.37
75,-1,-6,-1,-1,0,3,1,0,0.375
76,-2,1,-1,-1,-2,-2,-4,-3,0.38
77,0,-4,0,0,-1,-5,-1,-2,0.385
78,0,5,1,0,0,-1,-1,-2,0.39
79,1,-3,-2,-2,0,0,-2,-1,0.395
80,-1,-1,-2,-1,-1,0,-3,-1,0.4
81,-3,6,0,-2,-2,-2,2,-2,0.405
82,1,-4,-1,-2,-3,-3,1,-1,0.41000000000000003
83,1,-3,-1,-1,0,-1,-2,-2,0.41500000000000004
84,1,1,1,0,0,-1,0,-1,0.42
85,-1,5,0,-1,1,0,-1,0,0.425
86,-2,6,-3,-1,-1,1,3,1,0.43
87,-2,10,-2,0,-1,3,3,0,0.435
88,-2,-1,-2,-2,-1,-4,-5,1,0.44
89,1,-1,-1,-1,-1,0,2,-5,0.445
90,1,1,1,0,0,1,-1,0,0.45
91,0,30,-1,2,0,3,4,1,0.455
92,-3,14,-1,0,-1,-2,-3,-1,0.46
93,-1,0,3,2,0,-1,-7,0,0.465
94,0,-5,0,-1,-1,-2,5,0,0.47000000000000003
95,0,-18,-3,-1,0,-1,-3,-1,0.47500000000000003
96,-1,-9,1,-1,-1,-2,-2,-3,0.48
97,1,-2,-2,0,0,-3,-1,-1,0.485
98,-3,-2,0,-1,-1,-1,-5,-2,0.49
99,-1,1,0,-3,-3,-4,-3,2,0.495
100,-2,2,-3,2,2,-3,1,0,0.5
101,3,-2,1,-2,1,6,2,0,0.505
102,-2,3,-1,1,0,0,-5,-1,0.51
103,1,-4,-1,-1,-3,0,-3,-2,0.515
104,-1,0,0,0,-2,-2,-2,-1,0.52
105,0,-4,0,-1,0,-1,2,2,0.525
106,0,2,-2,-1,0,-2,2,0,0.53
107,0,-8,-1,-1,-2,-1,-2,-3,0.535
108,-1,1,0,-2,-1,-1,-1,-3,0.54
109,-2,0,-2,-1,-1,-1,0,0,0.545
110,0,-2,-1,-1,0,-1,-2,-1,0.55
111,-3,-8,-3,-1,-2,-4,-3,-1,0.555
112,1,-4,-1,-1,0,5,3,1,0.56
113,-2,8,-2,-1,-1,-3,-2,0,0.5650000000000001
114,0,14,0,0,0,-2,-4,0,0.5700000000000001
115,2,6,0,0,1,-1,1,-2,0.5750000000000001
116,0,3,-3,-2,-3,-2,-3,-2,0.58
117,-3,-3,-4,0,0,-2,0,-2,0.585
118,1,-9,0,-1,-4,1,-2,-1,0.59
119,-1,-7,-4,0,0,0,0,-2,0.595
120,-1,-1,0,0,-1,0,0,-2,0.6
121,-1,-2,-2,-1,-1,-2,-2,1,0.605
122,0,1,-1,0,-1,-2,0,-1,0.61
123,-1,0,1,-1,0,0,-1,-2,0.615
124,0,0,0,-2,-1,0,0,-3,0.62
125,-1,64,-2,-1,-1,-1,-2,1,0.625
126,-1,19,-1,0,-1,-1,-1,0,0.63
127,-1,2,3,0,0,0,0,1,0.635
128,-1,-11,-1,-1,1,-2,-4,-2,0.64
129,0,-35,-1,-1,0,0,1,0,0.645
130,-1,-17,-2,-2,1,0,-2,-4,0.65
131,0,-6,-1,-2,-3,-1,-10,1,0.655
132,-1,-6,-2,0,0,-2,-9,1,0.66
133,1,-5,0,0,-1,1,3,0,0.665
134,0,-3,0,1,1,6,8,2,0.67
135,-3,-12,-2,1,-2,-3,0,-1,0.675
136,-2,-5,-3,-2,-1,1,8,-1,0.68
137,-3,-9,-1,-1,-3,-4,-9,-1,0.685
138,0,-4,-1,-2,-3,-5,-3,-3,0.6900000000000001
139,-1,0,-1,-1,-1,-1,2,-3,0.6950000000000001
140,-2,2,-2,-1,-3,-2,-3,-2,0.7000000000000001
141,1,-3,-1,1,0,1,2,2,0.705
142,-1,-2,-2,0,-2,-3,-2,-1,0.71
143,1,-2,-1,-4,0,-1,0,-1,0.715
144,0,-4,1,0,-2,-1,-4,1,0.72
145,-1,-10,1,-1,0,0,2,-3,0.725
146,-3,-14,-1,-1,-2,-2,-1,0,0.73
147,-2,3,-1,-1,-1,-2,-3,-1,0.735
148,-2,4,-3,0,-1,-2,1,2,0.74
149,0,4,0,0,0,1,2,-2,0.745
150,0,8,0,1,0,0,3,1,0.75
151,-1,6,-2,-3,0,-1,1,-2,0.755
152,0,16,1,0,0,1,1,0,0.76
153,-2,21,-2,0,-2,0,-1,-2,0.765
154,-3,14,-1,-1,-1,-6,-8,-1,0.77
155,-2,-6,-1,-1,0,3,4,1,0.775
156,-2,-7,-1,-2,-1,-8,-9,-1,0.78
157,-3,-26,-1,-1,-3,-5,-3,-1,0.785
158,3,-13,-2,-1,0,7,5,1,0.79
159,0,-7,-1,1,-1,-1,-1,0,0.795
160,-1,-2,0,-2,1,2,0,-4,0.8
161,0,-4,0,-1,-1,-7,-4,-1,0.805
162,-4,-5,-2,-3,-2,-5,-5,-4,0.81
163,-2,-1,-1,0,-1,1,2,-2,0.8150000000000001
164,0,-1,-3,-2,-1,-2,-2,-3,0.8200000000000001
165,0,-3,-1,0,-2,-1,-2,-2,0.8250000000000001
